"error","bikesInUsage","electricalBikesInUsage","mechanicalBikesInUsage","dateTime"
0,659,14,645,"2018-08-01 17:43:27"
0,666,16,650,"2018-08-01 17:45:40"
0,648,11,637,"2018-08-01 18:00:42"
0,845,13,832,"2018-08-01 18:15:40"
0,889,13,876,"2018-08-01 18:30:40"
0,817,12,805,"2018-08-01 18:45:40"
0,737,8,729,"2018-08-01 19:00:42"
0,773,7,766,"2018-08-01 19:15:40"
0,762,4,758,"2018-08-01 19:30:40"
0,747,1,746,"2018-08-01 19:45:39"
0,651,8,643,"2018-08-01 20:00:42"
0,723,6,717,"2018-08-01 20:15:40"
0,706,8,698,"2018-08-01 20:30:39"
0,636,6,630,"2018-08-01 20:45:40"
0,600,7,593,"2018-08-01 21:00:40"
0,650,5,645,"2018-08-01 21:15:40"
0,551,3,548,"2018-08-01 21:30:39"
0,509,5,504,"2018-08-01 21:45:40"
0,401,3,398,"2018-08-01 22:00:40"
0,451,2,449,"2018-08-01 22:15:40"
0,400,4,396,"2018-08-01 22:30:39"
0,333,3,330,"2018-08-01 22:45:39"
0,283,4,279,"2018-08-01 23:00:40"
0,346,4,342,"2018-08-01 23:15:39"
0,314,5,309,"2018-08-01 23:30:40"
0,347,3,344,"2018-08-01 23:45:39"
0,310,4,306,"2018-08-02 00:00:40"
0,383,2,381,"2018-08-02 00:15:40"
0,330,2,328,"2018-08-02 00:30:39"
0,291,3,288,"2018-08-02 00:45:39"
0,267,2,265,"2018-08-02 01:00:39"
0,234,2,232,"2018-08-02 01:15:39"
0,206,2,204,"2018-08-02 01:30:40"
0,204,2,202,"2018-08-02 01:45:39"
0,197,1,196,"2018-08-02 02:00:43"
0,68,0,68,"2018-08-02 02:15:39"
0,42,0,42,"2018-08-02 02:30:40"
0,34,0,34,"2018-08-02 02:45:39"
0,32,0,32,"2018-08-02 03:00:42"
0,29,0,29,"2018-08-02 03:15:39"
0,29,0,29,"2018-08-02 03:30:39"
0,26,0,26,"2018-08-02 03:45:39"
0,26,0,26,"2018-08-02 04:00:41"
0,24,0,24,"2018-08-02 04:15:39"
0,22,0,22,"2018-08-02 04:34:28"
0,21,0,21,"2018-08-02 04:45:39"
0,30,0,30,"2018-08-02 05:00:41"
0,54,0,54,"2018-08-02 05:15:40"
0,52,0,52,"2018-08-02 05:30:40"
0,73,0,73,"2018-08-02 05:45:40"
0,69,0,69,"2018-08-02 06:00:41"
0,77,1,76,"2018-08-02 06:15:40"
0,127,1,126,"2018-08-02 06:30:40"
0,219,1,218,"2018-08-02 06:45:41"
0,181,0,181,"2018-08-02 07:00:41"
0,265,1,264,"2018-08-02 07:15:40"
0,408,4,404,"2018-08-02 07:30:41"
0,710,6,704,"2018-08-02 07:45:40"
0,663,9,654,"2018-08-02 08:00:40"
0,644,9,635,"2018-08-02 08:15:40"
0,649,9,640,"2018-08-02 08:30:40"
0,802,19,783,"2018-08-02 08:45:40"
0,624,18,606,"2018-08-02 09:00:40"
0,464,12,452,"2018-08-02 09:15:40"
0,431,10,421,"2018-08-02 09:30:40"
0,430,1,429,"2018-08-02 09:45:40"
0,322,3,319,"2018-08-02 10:00:40"
0,299,2,297,"2018-08-02 10:15:41"
0,310,2,308,"2018-08-02 10:30:40"
0,297,3,294,"2018-08-02 10:45:40"
0,272,4,268,"2018-08-02 11:00:41"
0,288,3,285,"2018-08-02 11:15:40"
0,302,4,298,"2018-08-02 11:30:41"
0,318,1,317,"2018-08-02 11:45:40"
0,272,0,272,"2018-08-02 12:00:40"
0,282,1,281,"2018-08-02 12:15:40"
0,317,2,315,"2018-08-02 12:30:40"
0,357,1,356,"2018-08-02 12:45:40"
0,336,4,332,"2018-08-02 13:00:40"
0,350,8,342,"2018-08-02 13:15:40"
0,342,6,336,"2018-08-02 13:30:40"
0,382,5,377,"2018-08-02 13:45:40"
0,342,2,340,"2018-08-02 14:00:39"
0,437,3,434,"2018-08-02 14:15:40"
0,375,7,368,"2018-08-02 14:30:40"
0,397,7,390,"2018-08-02 14:45:40"
0,356,6,350,"2018-08-02 15:00:41"
0,568,7,561,"2018-08-02 15:15:40"
0,487,3,484,"2018-08-02 15:30:40"
0,452,6,446,"2018-08-02 15:45:40"
0,404,3,401,"2018-08-02 16:00:41"
0,472,3,469,"2018-08-02 16:15:39"
0,478,5,473,"2018-08-02 16:30:40"
0,496,4,492,"2018-08-02 16:45:39"
0,452,6,446,"2018-08-02 17:00:40"
0,585,9,576,"2018-08-02 17:15:40"
0,588,9,579,"2018-08-02 17:30:40"
0,631,6,625,"2018-08-02 17:45:39"
0,632,4,628,"2018-08-02 18:00:40"
0,839,7,832,"2018-08-02 18:15:41"
0,854,12,842,"2018-08-02 18:30:39"
0,844,7,837,"2018-08-02 18:45:40"
0,735,5,730,"2018-08-02 19:00:39"
0,774,12,762,"2018-08-02 19:15:40"
0,727,15,712,"2018-08-02 19:30:39"
0,728,9,719,"2018-08-02 19:45:39"
0,705,5,700,"2018-08-02 20:00:39"
0,779,9,770,"2018-08-02 20:15:39"
0,703,8,695,"2018-08-02 20:30:39"
0,637,8,629,"2018-08-02 20:45:39"
0,584,8,576,"2018-08-02 21:00:41"
0,566,3,563,"2018-08-02 21:15:39"
0,554,3,551,"2018-08-02 21:30:39"
0,445,2,443,"2018-08-02 21:45:39"
0,395,5,390,"2018-08-02 22:00:44"
0,470,4,466,"2018-08-02 22:15:39"
0,374,1,373,"2018-08-02 22:30:39"
0,331,0,331,"2018-08-02 22:45:39"
0,311,4,307,"2018-08-02 23:00:42"
0,344,5,339,"2018-08-02 23:15:39"
0,307,3,304,"2018-08-02 23:30:39"
0,322,2,320,"2018-08-02 23:45:39"
0,392,2,390,"2018-08-03 00:00:41"
0,343,2,341,"2018-08-03 00:15:39"
0,333,5,328,"2018-08-03 00:30:38"
0,247,3,244,"2018-08-03 00:45:39"
0,205,4,201,"2018-08-03 01:00:40"
0,181,2,179,"2018-08-03 01:15:38"
0,169,1,168,"2018-08-03 01:30:38"
0,147,1,146,"2018-08-03 01:45:39"
0,161,2,159,"2018-08-03 02:00:39"
0,88,1,87,"2018-08-03 02:15:38"
0,71,1,70,"2018-08-03 02:30:39"
0,63,0,63,"2018-08-03 02:45:39"
0,55,0,55,"2018-08-03 03:00:38"
0,34,0,34,"2018-08-03 03:15:39"
0,25,0,25,"2018-08-03 03:30:38"
0,24,0,24,"2018-08-03 03:45:39"
0,23,0,23,"2018-08-03 04:00:39"
0,23,0,23,"2018-08-03 04:15:38"
