"error";"bikesInUsage";"electricalBikesInUsage";"mechanicalBikesInUsage";"dateTime"
0;287;4;283;2018-09-01 00:00:56
0;311;4;307;2018-09-01 00:15:56
0;281;4;277;2018-09-01 00:30:56
0;244;2;242;2018-09-01 00:45:55
0;223;2;221;2018-09-01 01:00:56
0;217;1;216;2018-09-01 01:15:55
0;217;4;213;2018-09-01 01:30:55
0;198;4;194;2018-09-01 01:45:56
0;178;1;177;2018-09-01 02:00:55
0;146;3;143;2018-09-01 02:15:56
0;159;2;157;2018-09-01 02:30:55
0;168;4;164;2018-09-01 02:45:55
0;147;0;147;2018-09-01 03:00:55
0;139;1;138;2018-09-01 03:15:55
0;111;1;110;2018-09-01 03:30:55
0;108;1;107;2018-09-01 03:45:56
0;100;1;99;2018-09-01 04:00:56
0;92;1;91;2018-09-01 04:15:55
0;78;1;77;2018-09-01 04:34:37
0;73;1;72;2018-09-01 04:45:55
0;75;2;73;2018-09-01 05:00:55
0;77;1;76;2018-09-01 05:15:57
0;101;4;97;2018-09-01 05:30:57
0;113;4;109;2018-09-01 05:45:57
0;85;1;84;2018-09-01 06:00:57
0;93;1;92;2018-09-01 06:15:57
0;120;2;118;2018-09-01 06:30:57
0;110;1;109;2018-09-01 06:45:56
0;83;1;82;2018-09-01 07:00:57
0;99;1;98;2018-09-01 07:15:57
0;107;1;106;2018-09-01 07:30:56
0;142;1;141;2018-09-01 07:45:58
0;107;2;105;2018-09-01 08:00:56
0;135;2;133;2018-09-01 08:15:57
0;158;4;154;2018-09-01 08:30:56
0;206;3;203;2018-09-01 08:45:57
0;157;1;156;2018-09-01 09:00:57
0;166;1;165;2018-09-01 09:15:56
0;201;1;200;2018-09-01 09:30:57
0;294;2;292;2018-09-01 09:45:56
0;224;1;223;2018-09-01 10:00:57
0;245;3;242;2018-09-01 10:15:56
0;248;3;245;2018-09-01 10:30:56
0;296;1;295;2018-09-01 10:45:57
0;195;2;193;2018-09-01 11:00:56
0;137;4;133;2018-09-01 11:15:57
0;133;1;132;2018-09-01 11:30:56
0;169;1;168;2018-09-01 11:45:56
0;185;1;184;2018-09-01 12:00:57
0;192;2;190;2018-09-01 12:15:56
0;242;2;240;2018-09-01 12:30:57
0;245;1;244;2018-09-01 12:45:56
0;194;1;193;2018-09-01 13:00:56
0;256;5;251;2018-09-01 13:15:55
0;275;4;271;2018-09-01 13:30:56
0;286;6;280;2018-09-01 13:45:56
0;328;5;323;2018-09-01 14:00:56
0;301;2;299;2018-09-01 14:15:56
0;305;5;300;2018-09-01 14:30:56
0;295;3;292;2018-09-01 14:45:56
0;250;6;244;2018-09-01 15:00:56
0;249;3;246;2018-09-01 15:15:56
0;237;2;235;2018-09-01 15:30:56
0;300;4;296;2018-09-01 15:45:56
0;288;3;285;2018-09-01 16:00:56
0;340;5;335;2018-09-01 16:15:56
0;358;2;356;2018-09-01 16:30:56
0;359;3;356;2018-09-01 16:45:56
0;334;6;328;2018-09-01 17:00:55
0;338;8;330;2018-09-01 17:15:56
0;376;4;372;2018-09-01 17:30:56
0;386;2;384;2018-09-01 17:45:55
0;362;4;358;2018-09-01 18:00:56
0;429;3;426;2018-09-01 18:15:56
0;450;6;444;2018-09-01 18:30:56
0;415;2;413;2018-09-01 18:45:55
0;395;4;391;2018-09-01 19:00:55
0;433;4;429;2018-09-01 19:15:56
0;427;7;420;2018-09-01 19:30:55
0;452;8;444;2018-09-01 19:45:56
0;412;2;410;2018-09-01 20:00:55
0;418;5;413;2018-09-01 20:15:56
0;425;4;421;2018-09-01 20:30:55
0;406;6;400;2018-09-01 20:45:56
0;386;5;381;2018-09-01 21:00:56
0;420;3;417;2018-09-01 21:15:55
0;352;4;348;2018-09-01 21:30:57
0;303;3;300;2018-09-01 21:45:55
0;273;2;271;2018-09-01 22:00:55
0;314;3;311;2018-09-01 22:15:55
0;237;4;233;2018-09-01 22:30:55
0;230;4;226;2018-09-01 22:45:56
0;217;6;211;2018-09-01 23:00:55
0;235;2;233;2018-09-01 23:15:57
0;205;2;203;2018-09-01 23:30:55
0;221;4;217;2018-09-01 23:45:56
0;200;3;197;2018-09-02 00:00:56
0;239;4;235;2018-09-02 00:15:56
0;239;6;233;2018-09-02 00:30:55
0;244;5;239;2018-09-02 00:45:55
0;250;4;246;2018-09-02 01:00:55
0;226;3;223;2018-09-02 01:15:55
0;192;5;187;2018-09-02 01:30:55
0;136;3;133;2018-09-02 01:45:55
0;140;3;137;2018-09-02 02:00:55
0;107;2;105;2018-09-02 02:15:56
0;133;2;131;2018-09-02 02:30:54
0;125;4;121;2018-09-02 02:45:55
0;106;3;103;2018-09-02 03:00:56
0;101;2;99;2018-09-02 03:15:55
0;92;4;88;2018-09-02 03:30:54
0;92;3;89;2018-09-02 03:45:55
0;88;1;87;2018-09-02 04:00:55
0;79;2;77;2018-09-02 04:15:55
0;78;1;77;2018-09-02 04:34:42
0;64;2;62;2018-09-02 04:45:55
0;71;2;69;2018-09-02 05:00:56
0;67;1;66;2018-09-02 05:15:57
0;62;1;61;2018-09-02 05:30:56
0;60;1;59;2018-09-02 05:45:57
0;73;1;72;2018-09-02 06:00:56
0;79;3;76;2018-09-02 06:15:57
0;102;3;99;2018-09-02 06:30:56
0;62;3;59;2018-09-02 06:45:58
0;78;2;76;2018-09-02 07:00:56
0;64;2;62;2018-09-02 07:15:57
0;77;2;75;2018-09-02 07:30:56
0;83;2;81;2018-09-02 07:45:56
0;73;2;71;2018-09-02 08:00:56
0;99;1;98;2018-09-02 08:15:56
0;104;2;102;2018-09-02 08:30:56
