"error","bikesInUsage","electricalBikesInUsage","mechanicalBikesInUsage","dateTime"
0,577,10,567,"2018-10-01 09:33:52"
0,490,2,488,"2018-10-01 12:20:06"
0,607,5,602,"2018-10-01 14:03:19"
0,620,7,613,"2018-10-01 15:05:20"
0,657,11,646,"2018-10-01 15:16:20"
0,776,16,760,"2018-10-02 09:16:20"
0,501,5,496,"2018-10-02 13:32:41"
0,492,5,487,"2018-10-02 13:31:20"
0,617,5,612,"2018-10-02 13:46:21"
0,595,5,590,"2018-10-02 14:01:22"
0,782,6,776,"2018-10-02 14:16:20"
0,716,9,707,"2018-10-02 14:31:22"
0,834,11,823,"2018-10-02 14:46:21"
0,635,6,629,"2018-10-02 15:01:20"
0,741,10,731,"2018-10-02 15:16:20"
0,679,12,667,"2018-10-02 15:31:20"
0,660,10,650,"2018-10-02 15:46:19"
0,556,8,548,"2018-10-02 16:01:21"
0,678,10,668,"2018-10-02 16:16:20"
0,624,11,613,"2018-10-02 16:31:19"
0,1128,12,1116,"2018-10-02 18:31:20"
0,594,12,582,"2018-10-03 09:46:20"
0,544,2,542,"2018-10-03 13:16:20"
0,1064,20,1044,"2018-10-05 08:48:58"
0,359,4,355,"2018-10-05 11:04:35"
0,407,0,407,"2018-10-05 12:04:48"
0,421,3,418,"2018-10-05 12:33:57"
0,455,2,453,"2018-10-05 12:49:10"
0,519,6,513,"2018-10-05 13:30:41"
0,637,3,634,"2018-10-05 13:46:50"
0,766,5,761,"2018-10-05 15:03:33"
0,881,6,875,"2018-10-05 15:08:15"
0,948,6,942,"2018-10-05 15:15:58"
0,608,12,596,"2018-10-05 16:03:21"
0,668,10,658,"2018-10-05 16:14:58"
0,709,12,697,"2018-10-05 16:29:58"
0,677,15,662,"2018-10-05 16:44:57"
0,610,13,597,"2018-10-05 16:59:57"
0,738,11,727,"2018-10-05 17:14:57"
0,770,12,758,"2018-10-05 17:29:57"
0,785,8,777,"2018-10-05 17:44:57"
0,748,8,740,"2018-10-05 17:59:57"
0,880,8,872,"2018-10-05 18:14:57"
0,857,9,848,"2018-10-05 18:29:57"
0,899,7,892,"2018-10-05 18:44:57"
0,824,10,814,"2018-10-05 18:59:57"
0,851,8,843,"2018-10-05 19:14:57"
0,813,9,804,"2018-10-05 19:29:57"
0,798,9,789,"2018-10-05 19:46:18"
0,695,7,688,"2018-10-05 20:01:18"
0,733,11,722,"2018-10-05 20:16:17"
0,645,6,639,"2018-10-05 20:31:18"
0,656,5,651,"2018-10-05 20:46:18"
0,600,7,593,"2018-10-05 21:01:18"
0,617,8,609,"2018-10-05 21:16:17"
0,522,4,518,"2018-10-05 21:31:18"
0,457,4,453,"2018-10-05 21:46:18"
0,398,8,390,"2018-10-05 22:01:17"
0,365,7,358,"2018-10-05 22:16:17"
0,330,2,328,"2018-10-05 22:31:17"
0,345,5,340,"2018-10-05 22:46:17"
0,307,6,301,"2018-10-05 23:01:18"
0,294,6,288,"2018-10-05 23:16:17"
0,314,6,308,"2018-10-05 23:31:17"
0,275,5,270,"2018-10-05 23:46:17"
0,294,3,291,"2018-10-06 00:01:19"
0,323,4,319,"2018-10-06 00:16:17"
0,311,7,304,"2018-10-06 00:31:18"
0,297,5,292,"2018-10-06 00:46:17"
0,254,4,250,"2018-10-06 01:01:17"
0,264,3,261,"2018-10-06 01:16:17"
0,223,4,219,"2018-10-06 01:31:18"
0,246,2,244,"2018-10-06 01:46:19"
0,209,2,207,"2018-10-06 02:01:17"
0,179,5,174,"2018-10-06 02:16:16"
0,188,2,186,"2018-10-06 02:31:17"
0,184,3,181,"2018-10-06 02:46:17"
0,179,3,176,"2018-10-06 03:01:16"
0,156,2,154,"2018-10-06 03:16:17"
0,150,3,147,"2018-10-06 03:31:17"
0,116,3,113,"2018-10-06 03:46:17"
0,89,2,87,"2018-10-06 04:01:16"
0,91,2,89,"2018-10-06 04:16:16"
0,83,2,81,"2018-10-06 04:34:34"
0,67,2,65,"2018-10-06 04:46:16"
0,73,2,71,"2018-10-06 05:01:17"
0,78,4,74,"2018-10-06 05:16:18"
0,76,3,73,"2018-10-06 05:31:18"
0,88,2,86,"2018-10-06 05:46:19"
0,90,2,88,"2018-10-06 06:01:18"
0,88,2,86,"2018-10-06 06:16:19"
0,98,3,95,"2018-10-06 06:31:19"
0,120,3,117,"2018-10-06 06:46:17"
0,82,2,80,"2018-10-06 07:01:18"
0,106,2,104,"2018-10-06 07:16:18"
0,124,2,122,"2018-10-06 07:31:18"
0,146,2,144,"2018-10-06 07:46:18"
0,134,2,132,"2018-10-06 08:01:18"
0,147,3,144,"2018-10-06 08:16:18"
0,185,6,179,"2018-10-06 08:31:19"
0,243,2,241,"2018-10-06 08:46:17"
0,194,2,192,"2018-10-06 09:01:18"
0,215,2,213,"2018-10-06 09:16:18"
0,283,3,280,"2018-10-06 09:31:18"
0,323,4,319,"2018-10-06 09:46:18"
0,288,5,283,"2018-10-06 10:01:18"
0,308,4,304,"2018-10-06 10:16:18"
0,320,5,315,"2018-10-06 10:31:18"
0,341,5,336,"2018-10-06 10:46:18"
0,333,4,329,"2018-10-06 11:01:18"
0,367,5,362,"2018-10-06 11:16:18"
0,393,7,386,"2018-10-06 11:31:18"
0,449,9,440,"2018-10-06 11:46:18"
0,420,6,414,"2018-10-06 12:01:18"
