"error","bikesInUsage","electricalBikesInUsage","mechanicalBikesInUsage","dateTime"
0,139,0,139,"2018-11-01 00:01:39"
0,133,0,133,"2018-11-01 00:06:39"
0,99,1,98,"2018-11-01 00:11:37"
0,91,1,90,"2018-11-01 00:17:15"
0,91,1,90,"2018-11-01 00:22:06"
0,76,0,76,"2018-11-01 00:27:14"
0,72,0,72,"2018-11-01 00:32:12"
0,58,0,58,"2018-11-01 00:37:15"
0,86,1,85,"2018-11-01 00:41:51"
0,91,1,90,"2018-11-01 00:47:10"
0,103,2,101,"2018-11-01 00:52:09"
0,94,2,92,"2018-11-01 00:57:36"
0,93,2,91,"2018-11-01 01:01:54"
0,102,1,101,"2018-11-01 01:07:16"
0,102,0,102,"2018-11-01 01:11:45"
0,98,0,98,"2018-11-01 01:16:40"
0,107,0,107,"2018-11-01 01:21:37"
0,101,1,100,"2018-11-01 01:26:38"
0,119,1,118,"2018-11-01 01:32:15"
0,109,1,108,"2018-11-01 01:36:58"
0,115,1,114,"2018-11-01 01:41:42"
0,125,1,124,"2018-11-01 01:46:37"
0,103,0,103,"2018-11-01 01:51:38"
0,81,0,81,"2018-11-01 01:56:37"
0,66,0,66,"2018-11-01 02:01:37"
0,56,0,56,"2018-11-01 02:06:37"
0,39,0,39,"2018-11-01 02:11:37"
0,40,0,40,"2018-11-01 02:16:37"
0,38,0,38,"2018-11-01 02:21:37"
0,36,0,36,"2018-11-01 02:26:37"
0,42,0,42,"2018-11-01 02:31:37"
0,49,0,49,"2018-11-01 02:36:37"
0,57,0,57,"2018-11-01 02:41:37"
0,64,0,64,"2018-11-01 02:46:37"
0,70,0,70,"2018-11-01 02:51:37"
0,69,1,68,"2018-11-01 02:56:36"
0,83,1,82,"2018-11-01 03:01:37"
0,85,0,85,"2018-11-01 03:06:37"
0,95,0,95,"2018-11-01 03:11:37"
0,98,1,97,"2018-11-01 03:16:37"
0,94,1,93,"2018-11-01 03:21:36"
0,102,1,101,"2018-11-01 03:26:37"
0,100,1,99,"2018-11-01 03:31:36"
0,98,2,96,"2018-11-01 03:36:37"
0,86,2,84,"2018-11-01 03:41:37"
0,95,2,93,"2018-11-01 03:46:37"
0,96,2,94,"2018-11-01 03:51:37"
0,86,3,83,"2018-11-01 03:56:36"
0,76,3,73,"2018-11-01 04:01:37"
0,79,2,77,"2018-11-01 04:06:37"
0,80,0,80,"2018-11-01 04:11:36"
0,78,0,78,"2018-11-01 04:16:37"
0,79,0,79,"2018-11-01 04:21:37"
0,82,0,82,"2018-11-01 04:26:36"
0,91,0,91,"2018-11-01 04:34:44"
0,78,0,78,"2018-11-01 04:36:37"
0,71,0,71,"2018-11-01 04:41:37"
0,75,2,73,"2018-11-01 04:46:37"
0,73,2,71,"2018-11-01 04:51:36"
0,82,0,82,"2018-11-01 04:56:37"
0,77,0,77,"2018-11-01 05:01:37"
0,83,0,83,"2018-11-01 05:06:38"
0,78,0,78,"2018-11-01 05:11:38"
0,81,0,81,"2018-11-01 05:16:39"
0,92,0,92,"2018-11-01 05:21:38"
0,96,0,96,"2018-11-01 05:26:38"
0,85,0,85,"2018-11-01 05:31:38"
0,92,0,92,"2018-11-01 05:36:39"
0,97,0,97,"2018-11-01 05:41:38"
0,89,0,89,"2018-11-01 05:46:38"
0,80,0,80,"2018-11-01 05:51:38"
0,74,0,74,"2018-11-01 05:56:38"
0,65,0,65,"2018-11-01 06:01:39"
0,71,0,71,"2018-11-01 06:06:38"
0,82,0,82,"2018-11-01 06:11:38"
0,83,0,83,"2018-11-01 06:16:38"
0,90,0,90,"2018-11-01 06:21:38"
0,97,0,97,"2018-11-01 06:26:38"
0,101,1,100,"2018-11-01 06:31:38"
0,114,1,113,"2018-11-01 06:36:39"
0,123,1,122,"2018-11-01 06:41:38"
0,98,1,97,"2018-11-01 06:46:38"
0,92,0,92,"2018-11-01 06:51:38"
0,85,0,85,"2018-11-01 06:56:38"
0,75,0,75,"2018-11-01 07:01:39"
0,77,0,77,"2018-11-01 07:06:38"
0,93,0,93,"2018-11-01 07:11:38"
0,107,0,107,"2018-11-01 07:16:38"
0,106,0,106,"2018-11-01 07:21:38"
0,121,0,121,"2018-11-01 07:26:38"
0,122,0,122,"2018-11-01 07:31:38"
0,139,1,138,"2018-11-01 07:36:39"
0,142,2,140,"2018-11-01 07:41:38"
0,130,2,128,"2018-11-01 07:46:38"
0,118,2,116,"2018-11-01 07:51:38"
0,113,2,111,"2018-11-01 07:56:38"
0,99,2,97,"2018-11-01 08:01:39"
0,94,1,93,"2018-11-01 08:06:38"
0,118,1,117,"2018-11-01 08:11:38"
0,111,2,109,"2018-11-01 08:16:38"
0,107,2,105,"2018-11-01 08:21:38"
0,128,2,126,"2018-11-01 08:26:38"
0,146,2,144,"2018-11-01 08:31:38"
0,163,1,162,"2018-11-01 08:36:38"
0,186,1,185,"2018-11-01 08:41:38"
0,204,0,204,"2018-11-01 08:46:38"
0,184,1,183,"2018-11-01 08:51:38"
0,169,1,168,"2018-11-01 08:56:37"
0,149,0,149,"2018-11-01 09:01:38"
0,136,1,135,"2018-11-01 09:06:39"
0,136,1,135,"2018-11-01 09:11:38"
0,155,1,154,"2018-11-01 09:16:38"
0,163,3,160,"2018-11-01 09:21:38"
0,178,3,175,"2018-11-01 09:26:38"
0,178,3,175,"2018-11-01 09:31:38"
0,185,2,183,"2018-11-01 09:36:38"
0,195,1,194,"2018-11-01 09:41:38"
0,196,1,195,"2018-11-01 09:46:38"
0,199,1,198,"2018-11-01 09:51:38"
0,193,1,192,"2018-11-01 09:56:38"
0,183,2,181,"2018-11-01 10:01:40"
0,172,2,170,"2018-11-01 10:06:39"
0,182,0,182,"2018-11-01 10:11:38"
0,207,1,206,"2018-11-01 10:16:38"
0,213,1,212,"2018-11-01 10:21:37"
0,200,1,199,"2018-11-01 10:26:38"
0,224,1,223,"2018-11-01 10:31:39"
0,238,0,238,"2018-11-01 10:36:38"
0,248,0,248,"2018-11-01 10:41:37"
0,259,0,259,"2018-11-01 10:46:38"
0,253,0,253,"2018-11-01 10:51:38"
0,251,0,251,"2018-11-01 10:56:38"
0,256,2,254,"2018-11-01 11:01:38"
0,266,3,263,"2018-11-01 11:06:38"
0,266,1,265,"2018-11-01 11:11:38"
0,250,1,249,"2018-11-01 11:16:38"
0,272,1,271,"2018-11-01 11:21:37"
0,281,1,280,"2018-11-01 11:26:38"
0,308,2,306,"2018-11-01 11:31:38"
0,314,2,312,"2018-11-01 11:36:38"
0,343,1,342,"2018-11-01 11:41:37"
0,333,1,332,"2018-11-01 11:46:38"
0,304,2,302,"2018-11-01 11:51:38"
0,296,2,294,"2018-11-01 11:56:37"
0,293,2,291,"2018-11-01 12:01:38"
0,304,3,301,"2018-11-01 12:06:38"
0,314,3,311,"2018-11-01 12:11:38"
0,300,4,296,"2018-11-01 12:16:37"
0,333,5,328,"2018-11-01 12:21:38"
0,335,6,329,"2018-11-01 12:26:37"
0,355,6,349,"2018-11-01 12:31:38"
0,355,6,349,"2018-11-01 12:36:37"
0,351,5,346,"2018-11-01 12:41:38"
0,362,5,357,"2018-11-01 12:46:38"
0,380,5,375,"2018-11-01 12:51:37"
0,392,5,387,"2018-11-01 12:56:38"
0,388,3,385,"2018-11-01 13:01:38"
0,404,2,402,"2018-11-01 13:06:38"
0,406,3,403,"2018-11-01 13:11:38"
0,399,2,397,"2018-11-01 13:16:38"
0,372,2,370,"2018-11-01 13:21:37"
0,394,4,390,"2018-11-01 13:26:38"
0,353,5,348,"2018-11-01 13:31:38"
0,369,4,365,"2018-11-01 13:36:37"
0,377,4,373,"2018-11-01 13:41:38"
0,399,5,394,"2018-11-01 13:46:37"
0,409,5,404,"2018-11-01 13:51:38"
0,424,8,416,"2018-11-01 13:56:37"
0,386,9,377,"2018-11-01 14:01:38"
0,376,7,369,"2018-11-01 14:06:37"
0,398,5,393,"2018-11-01 14:11:38"
0,395,4,391,"2018-11-01 14:16:37"
0,387,4,383,"2018-11-01 14:21:38"
