"error","bikesInUsage","electricalBikesInUsage","mechanicalBikesInUsage","dateTime"
0,255,5,250,"2018-12-01 00:00:04"
0,244,4,240,"2018-12-01 00:05:04"
0,270,2,268,"2018-12-01 00:10:04"
0,286,2,284,"2018-12-01 00:15:03"
0,284,2,282,"2018-12-01 00:20:04"
0,264,3,261,"2018-12-01 00:25:04"
0,276,3,273,"2018-12-01 00:30:03"
0,256,2,254,"2018-12-01 00:35:04"
0,252,1,251,"2018-12-01 00:40:03"
0,265,1,264,"2018-12-01 00:45:04"
0,272,1,271,"2018-12-01 00:50:04"
0,258,1,257,"2018-12-01 00:55:04"
0,219,1,218,"2018-12-01 01:00:04"
0,230,1,229,"2018-12-01 01:05:04"
0,229,2,227,"2018-12-01 01:10:04"
0,241,2,239,"2018-12-01 01:15:03"
0,226,3,223,"2018-12-01 01:20:04"
0,215,3,212,"2018-12-01 01:25:04"
0,212,1,211,"2018-12-01 01:30:04"
0,201,1,200,"2018-12-01 01:35:04"
0,200,1,199,"2018-12-01 01:40:04"
0,178,1,177,"2018-12-01 01:45:04"
0,195,1,194,"2018-12-01 01:50:04"
0,203,1,202,"2018-12-01 01:55:03"
0,174,1,173,"2018-12-01 02:05:04"
0,170,3,167,"2018-12-01 02:10:04"
0,161,3,158,"2018-12-01 02:15:04"
0,168,3,165,"2018-12-01 02:20:04"
0,174,4,170,"2018-12-01 02:25:04"
0,172,2,170,"2018-12-01 02:30:04"
0,167,3,164,"2018-12-01 02:35:04"
0,153,4,149,"2018-12-01 02:40:04"
0,157,3,154,"2018-12-01 02:45:04"
0,178,3,175,"2018-12-01 02:50:04"
0,176,3,173,"2018-12-01 02:55:04"
0,194,2,192,"2018-12-01 03:05:05"
0,179,2,177,"2018-12-01 03:10:04"
0,172,2,170,"2018-12-01 03:15:04"
0,180,3,177,"2018-12-01 03:20:04"
0,190,2,188,"2018-12-01 03:25:04"
0,175,1,174,"2018-12-01 03:30:03"
0,168,1,167,"2018-12-01 03:35:04"
0,155,1,154,"2018-12-01 03:40:03"
0,136,1,135,"2018-12-01 03:45:04"
0,118,1,117,"2018-12-01 03:50:03"
0,113,1,112,"2018-12-01 03:55:03"
0,99,1,98,"2018-12-01 04:05:03"
0,96,1,95,"2018-12-01 04:10:04"
0,94,1,93,"2018-12-01 04:15:03"
0,87,1,86,"2018-12-01 04:20:04"
0,85,1,84,"2018-12-01 04:25:04"
0,95,1,94,"2018-12-01 04:33:23"
0,96,1,95,"2018-12-01 04:35:04"
0,94,1,93,"2018-12-01 04:40:03"
0,94,1,93,"2018-12-01 04:45:03"
0,96,1,95,"2018-12-01 04:50:04"
0,92,1,91,"2018-12-01 04:55:03"
0,90,1,89,"2018-12-01 05:00:03"
0,76,1,75,"2018-12-01 05:05:05"
0,83,2,81,"2018-12-01 05:10:06"
0,76,2,74,"2018-12-01 05:15:05"
0,76,1,75,"2018-12-01 05:20:06"
0,79,1,78,"2018-12-01 05:25:05"
0,82,1,81,"2018-12-01 05:30:05"
0,87,1,86,"2018-12-01 05:35:06"
0,98,1,97,"2018-12-01 05:40:05"
0,101,1,100,"2018-12-01 05:45:06"
0,93,1,92,"2018-12-01 05:50:06"
0,84,1,83,"2018-12-01 05:55:05"
