"error","bikesInUsage","electricalBikesInUsage","mechanicalBikesInUsage","dateTime"
0,131,0,131,"2019-02-01 00:00:00"
0,132,2,130,"2019-02-01 00:05:00"
0,129,3,126,"2019-02-01 00:09:59"
0,126,4,122,"2019-02-01 00:14:59"
0,113,3,110,"2019-02-01 00:20:00"
0,121,3,118,"2019-02-01 00:24:59"
0,132,3,129,"2019-02-01 00:30:00"
0,128,2,126,"2019-02-01 00:34:59"
0,110,2,108,"2019-02-01 00:40:00"
0,101,3,98,"2019-02-01 00:44:59"
0,107,2,105,"2019-02-01 00:49:59"
0,114,3,111,"2019-02-01 00:55:00"
0,120,4,116,"2019-02-01 00:59:59"
0,102,4,98,"2019-02-01 01:05:00"
0,90,3,87,"2019-02-01 01:09:59"
0,73,0,73,"2019-02-01 01:14:59"
0,61,0,61,"2019-02-01 01:20:00"
0,60,0,60,"2019-02-01 01:24:59"
0,52,0,52,"2019-02-01 01:30:00"
0,49,0,49,"2019-02-01 01:34:59"
0,49,0,49,"2019-02-01 01:40:00"
0,44,0,44,"2019-02-01 01:44:59"
0,51,0,51,"2019-02-01 01:49:59"
0,42,0,42,"2019-02-01 01:54:59"
0,50,1,49,"2019-02-01 01:59:59"
0,48,1,47,"2019-02-01 02:04:59"
0,43,1,42,"2019-02-01 02:09:59"
0,37,1,36,"2019-02-01 02:14:59"
0,31,0,31,"2019-02-01 02:19:59"
0,30,0,30,"2019-02-01 02:24:59"
0,30,0,30,"2019-02-01 02:29:59"
0,38,0,38,"2019-02-01 02:34:59"
0,33,0,33,"2019-02-01 02:39:59"
0,33,0,33,"2019-02-01 02:44:59"
0,32,0,32,"2019-02-01 02:50:00"
0,26,0,26,"2019-02-01 02:54:59"
0,23,0,23,"2019-02-01 02:59:59"
0,19,0,19,"2019-02-01 03:04:59"
0,18,0,18,"2019-02-01 03:09:59"
0,17,0,17,"2019-02-01 03:14:59"
0,15,0,15,"2019-02-01 03:19:58"
0,15,0,15,"2019-02-01 03:24:59"
0,15,0,15,"2019-02-01 03:29:59"
0,15,0,15,"2019-02-01 03:34:59"
0,15,0,15,"2019-02-01 03:39:59"
0,15,0,15,"2019-02-01 03:44:59"
0,15,0,15,"2019-02-01 03:49:59"
0,15,0,15,"2019-02-01 03:54:59"
0,15,0,15,"2019-02-01 03:59:59"
0,14,0,14,"2019-02-01 04:05:00"
0,14,0,14,"2019-02-01 04:09:59"
0,14,0,14,"2019-02-01 04:14:59"
0,14,0,14,"2019-02-01 04:19:59"
0,14,0,14,"2019-02-01 04:24:59"
0,14,0,14,"2019-02-01 04:29:59"
0,14,0,14,"2019-02-01 04:34:59"
0,14,0,14,"2019-02-01 04:39:59"
0,14,0,14,"2019-02-01 04:44:59"
0,14,0,14,"2019-02-01 04:50:00"
0,14,0,14,"2019-02-01 04:54:59"
0,14,0,14,"2019-02-01 04:59:59"
0,24,0,24,"2019-02-01 05:04:59"
0,28,0,28,"2019-02-01 05:10:01"
0,30,0,30,"2019-02-01 05:15:01"
0,31,0,31,"2019-02-01 05:20:00"
0,28,0,28,"2019-02-01 05:25:01"
0,27,0,27,"2019-02-01 05:30:01"
0,29,0,29,"2019-02-01 05:35:01"
0,32,0,32,"2019-02-01 05:40:00"
0,39,0,39,"2019-02-01 05:45:01"
0,43,0,43,"2019-02-01 05:50:01"
0,52,0,52,"2019-02-01 05:55:00"
0,44,0,44,"2019-02-01 06:00:01"
0,39,0,39,"2019-02-01 06:05:00"
0,38,0,38,"2019-02-01 06:10:01"
0,51,0,51,"2019-02-01 06:15:01"
0,63,0,63,"2019-02-01 06:20:01"
0,66,0,66,"2019-02-01 06:25:01"
0,73,1,72,"2019-02-01 06:30:00"
0,77,1,76,"2019-02-01 06:35:00"
0,96,0,96,"2019-02-01 06:40:01"
0,106,0,106,"2019-02-01 06:45:01"
0,108,0,108,"2019-02-01 06:50:01"
0,117,0,117,"2019-02-01 06:55:01"
0,120,1,119,"2019-02-01 07:00:01"
0,131,1,130,"2019-02-01 07:05:01"
0,146,0,146,"2019-02-01 07:10:01"
0,160,0,160,"2019-02-01 07:15:00"
0,200,0,200,"2019-02-01 07:20:00"
