,bikesInUsage,electricalBikesInUsage,mechanicalBikesInUsage,dateTime,temperature,precipitation,avg_daily_temperature,avg_bike_use,is_weekend_or_bank_holiday_False,is_weekend_or_bank_holiday_True,is_eve_of_weekend_or_bank_holiday_False,is_eve_of_weekend_or_bank_holiday_True,time_of_day_Afternoon,time_of_day_Evening,time_of_day_Morning,time_of_day_Night,rain_bool_False,rain_bool_True,y_pred
0,659,14,645,2018-08-01 17:43:27,30.689998626708984,0.0,27.90538377028245,594.0,1,0,1,0,1,0,0,0,1,0,537.5355793650792
1,666,16,650,2018-08-01 17:45:40,30.689998626708984,0.0,27.90538377028245,594.0,1,0,1,0,1,0,0,0,1,0,537.5355793650792
2,648,11,637,2018-08-01 18:00:42,30.239999771118164,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,794.3496825396826
3,845,13,832,2018-08-01 18:15:40,30.239999771118164,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,794.3496825396826
4,889,13,876,2018-08-01 18:30:40,30.239999771118164,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,794.3496825396826
5,817,12,805,2018-08-01 18:45:40,30.239999771118164,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,794.3496825396826
6,737,8,729,2018-08-01 19:00:42,28.88999938964844,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,754.9209285714285
7,773,7,766,2018-08-01 19:15:40,28.88999938964844,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,754.9209285714285
8,762,4,758,2018-08-01 19:30:40,28.88999938964844,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,754.9209285714285
9,747,1,746,2018-08-01 19:45:39,28.88999938964844,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,754.9209285714285
10,651,8,643,2018-08-01 20:00:42,27.38999938964844,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,673.1373865301366
11,723,6,717,2018-08-01 20:15:40,27.38999938964844,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,673.1373865301366
12,706,8,698,2018-08-01 20:30:39,27.38999938964844,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,673.1373865301366
13,636,6,630,2018-08-01 20:45:40,27.38999938964844,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,673.1373865301366
14,600,7,593,2018-08-01 21:00:40,26.689998626708984,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,446.2160814740814
15,650,5,645,2018-08-01 21:15:40,26.689998626708984,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,446.2160814740814
16,551,3,548,2018-08-01 21:30:39,26.689998626708984,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,446.2160814740814
17,509,5,504,2018-08-01 21:45:40,26.689998626708984,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,446.2160814740814
18,401,3,398,2018-08-01 22:00:40,27.28999900817871,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,554.8677582972585
19,451,2,449,2018-08-01 22:15:40,27.28999900817871,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,554.8677582972585
20,400,4,396,2018-08-01 22:30:39,27.28999900817871,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,554.8677582972585
21,333,3,330,2018-08-01 22:45:39,27.28999900817871,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,554.8677582972585
22,283,4,279,2018-08-01 23:00:40,25.53999900817871,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,327.8585775613276
23,346,4,342,2018-08-01 23:15:39,25.53999900817871,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,327.8585775613276
