,bikesInUsage,electricalBikesInUsage,mechanicalBikesInUsage,dateTime,temperature,precipitation,avg_daily_temperature,avg_bike_use,is_weekend_or_bank_holiday_False,is_weekend_or_bank_holiday_True,is_eve_of_weekend_or_bank_holiday_False,is_eve_of_weekend_or_bank_holiday_True,time_of_day_Afternoon,time_of_day_Evening,time_of_day_Morning,time_of_day_Night,rain_bool_False,rain_bool_True,y_pred
0,659,14,645,2018-08-01 17:43:27,30.689998626708984,0.0,27.90538377028245,594.0,1,0,1,0,1,0,0,0,1,0,525.4624783549783
1,666,16,650,2018-08-01 17:45:40,30.689998626708984,0.0,27.90538377028245,594.0,1,0,1,0,1,0,0,0,1,0,525.4624783549783
2,648,11,637,2018-08-01 18:00:42,30.239999771118164,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,803.5909296536796
3,845,13,832,2018-08-01 18:15:40,30.239999771118164,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,803.5909296536796
4,889,13,876,2018-08-01 18:30:40,30.239999771118164,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,803.5909296536796
5,817,12,805,2018-08-01 18:45:40,30.239999771118164,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,803.5909296536796
6,737,8,729,2018-08-01 19:00:42,28.88999938964844,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,734.12
7,773,7,766,2018-08-01 19:15:40,28.88999938964844,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,734.12
8,762,4,758,2018-08-01 19:30:40,28.88999938964844,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,734.12
9,747,1,746,2018-08-01 19:45:39,28.88999938964844,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,734.12
10,651,8,643,2018-08-01 20:00:42,27.38999938964844,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,680.1803997113996
11,723,6,717,2018-08-01 20:15:40,27.38999938964844,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,680.1803997113996
12,706,8,698,2018-08-01 20:30:39,27.38999938964844,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,680.1803997113996
13,636,6,630,2018-08-01 20:45:40,27.38999938964844,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,680.1803997113996
14,600,7,593,2018-08-01 21:00:40,26.689998626708984,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,450.27299195249174
15,650,5,645,2018-08-01 21:15:40,26.689998626708984,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,450.27299195249174
16,551,3,548,2018-08-01 21:30:39,26.689998626708984,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,450.27299195249174
17,509,5,504,2018-08-01 21:45:40,26.689998626708984,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,450.27299195249174
18,401,3,398,2018-08-01 22:00:40,27.28999900817871,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,506.86781862581876
19,451,2,449,2018-08-01 22:15:40,27.28999900817871,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,506.86781862581876
20,400,4,396,2018-08-01 22:30:39,27.28999900817871,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,506.86781862581876
21,333,3,330,2018-08-01 22:45:39,27.28999900817871,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,506.86781862581876
22,283,4,279,2018-08-01 23:00:40,25.53999900817871,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,335.2547763347764
23,346,4,342,2018-08-01 23:15:39,25.53999900817871,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,335.2547763347764
24,314,5,309,2018-08-01 23:30:40,25.53999900817871,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,335.2547763347764
25,347,3,344,2018-08-01 23:45:39,25.53999900817871,0.0,27.90538377028245,594.0,1,0,1,0,0,1,0,0,1,0,335.2547763347764
26,310,4,306,2018-08-02 00:00:40,25.28999900817871,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,156.1807084533114
27,383,2,381,2018-08-02 00:15:40,25.28999900817871,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,156.1807084533114
28,330,2,328,2018-08-02 00:30:39,25.28999900817871,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,156.1807084533114
29,291,3,288,2018-08-02 00:45:39,25.28999900817871,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,156.1807084533114
30,267,2,265,2018-08-02 01:00:39,25.489999771118164,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,184.6754083139083
31,234,2,232,2018-08-02 01:15:39,25.489999771118164,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,184.6754083139083
32,206,2,204,2018-08-02 01:30:40,25.489999771118164,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,184.6754083139083
33,204,2,202,2018-08-02 01:45:39,25.489999771118164,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,184.6754083139083
34,197,1,196,2018-08-02 02:00:43,25.239999771118164,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,85.61610714285716
35,68,0,68,2018-08-02 02:15:39,25.239999771118164,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,85.61610714285716
36,42,0,42,2018-08-02 02:30:40,25.239999771118164,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,85.61610714285716
37,34,0,34,2018-08-02 02:45:39,25.239999771118164,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,85.61610714285716
38,32,0,32,2018-08-02 03:00:42,25.28999900817871,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,156.1807084533114
39,29,0,29,2018-08-02 03:15:39,25.28999900817871,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,156.1807084533114
40,29,0,29,2018-08-02 03:30:39,25.28999900817871,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,156.1807084533114
41,26,0,26,2018-08-02 03:45:39,25.28999900817871,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,156.1807084533114
42,26,0,26,2018-08-02 04:00:41,25.189998626708984,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,23.97414285714285
43,24,0,24,2018-08-02 04:15:39,25.189998626708984,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,23.97414285714285
44,22,0,22,2018-08-02 04:34:28,25.189998626708984,0.0,29.327499469121296,377.84375,1,0,1,0,0,0,0,1,1,0,23.97414285714285
