bikesInUsage,time_group
1199,08:00
1192,08:00
1191,08:00
1187,08:00
1170,08:00
1169,18:00
1167,08:00
1166,08:00
1165,18:00
1163,18:00
1162,08:00
1160,18:00
1160,08:00
1158,18:00
1156,18:00
1155,08:00
1155,08:00
1152,08:00
1149,08:00
1148,18:00
1148,08:00
1148,08:00
1146,18:00
1144,18:00
1142,18:00
1142,18:00
1141,18:00
1140,18:00
1138,18:00
1136,18:00
1135,18:00
1131,08:00
1130,08:00
1129,18:00
1128,08:00
1128,18:00
1128,18:00
1127,08:00
1127,08:00
1126,18:00
1125,18:00
1125,18:00
1125,18:00
1123,18:00
1121,08:00
1121,18:00
1120,18:00
1120,18:00
1116,08:00
1115,18:00
1115,08:00
1115,08:00
1114,08:00
1113,18:00
1111,18:00
1110,08:00
1110,08:00
1110,08:00
1109,18:00
1108,08:00
1106,08:00
1103,18:00
1099,08:00
1096,18:00
1095,08:00
1094,08:00
1094,08:00
1093,18:00
1093,19:00
1093,18:00
1090,18:00
1089,08:00
1089,08:00
1089,08:00
1089,18:00
1089,18:00
1087,18:00
1087,18:00
1086,18:00
1085,08:00
1085,08:00
1084,08:00
1081,18:00
1081,19:00
1081,18:00
1081,08:00
1080,18:00
1079,18:00
1079,18:00
1078,18:00
1078,18:00
1078,08:00
1077,08:00
1077,18:00
1076,18:00
1075,08:00
1075,18:00
1073,08:00
1073,08:00
1072,08:00
1072,18:00
1072,18:00
1071,08:00
1071,08:00
1071,18:00
1070,18:00
1070,08:00
1069,08:00
1069,18:00
1069,18:00
1069,18:00
1068,08:00
1067,18:00
1067,08:00
1064,08:00
1063,08:00
1061,18:00
1061,18:00
1061,18:00
1059,18:00
1059,18:00
1059,08:00
1058,18:00
1058,18:00
1058,18:00
1057,08:00
1056,19:00
1054,18:00
1053,18:00
1053,18:00
1052,18:00
1052,08:00
1051,18:00
1051,18:00
1050,08:00
1049,18:00
1049,18:00
1049,08:00
1048,08:00
1048,08:00
1048,08:00
1047,19:00
1047,18:00
1046,18:00
1046,08:00
1045,08:00
1044,18:00
1044,18:00
1043,18:00
1042,18:00
1042,18:00
1041,08:00
1041,08:00
1041,19:00
1037,08:00
1037,08:00
1037,08:00
1036,18:00
1035,19:00
1035,08:00
1035,18:00
1034,18:00
1034,08:00
1033,08:00
1032,18:00
1031,18:00
1030,08:00
1027,18:00
1027,18:00
1027,08:00
1027,08:00
1027,18:00
1026,18:00
1026,18:00
1026,18:00
1026,08:00
1024,18:00
1023,19:00
1023,19:00
1023,18:00
1022,18:00
1021,19:00
1020,18:00
1019,08:00
1017,08:00
1017,18:00
1016,18:00
1016,08:00
1016,18:00
1016,08:00
1015,18:00
1014,18:00
1014,18:00
1013,18:00
1013,18:00
1013,19:00
