dateTime,bikesInUsage,electricalBikesInUsage,mechanicalBikesInUsage,is_weekend_or_bank_holiday,is_eve_of_weekend_or_bank_holiday,time_of_day,temperature_2m,rain
2018-08-01 17:00:00,662.5,15.0,647.5,False,False,Afternoon,30.689999,0.0
2018-08-01 18:00:00,799.75,12.25,787.5,False,False,Evening,30.24,0.0
2018-08-01 19:00:00,754.75,5.0,749.75,False,False,Evening,28.89,0.0
2018-08-01 20:00:00,679.0,7.0,672.0,False,False,Evening,27.39,0.0
2018-08-01 21:00:00,577.5,5.0,572.5,False,False,Evening,26.689999,0.0
2018-08-01 22:00:00,396.25,3.0,393.25,False,False,Evening,27.289999,0.0
2018-08-01 23:00:00,322.5,4.0,318.5,False,False,Evening,25.539999,0.0
2018-08-02 00:00:00,328.5,2.75,325.75,False,False,Night,25.289999,0.0
2018-08-02 01:00:00,227.75,2.0,225.75,False,False,Night,25.49,0.0
2018-08-02 02:00:00,85.25,0.25,85.0,False,False,Night,25.24,0.0
2018-08-02 03:00:00,29.0,0.0,29.0,False,False,Night,25.289999,0.0
2018-08-02 04:00:00,23.25,0.0,23.25,False,False,Night,25.189999,0.0
2018-08-02 05:00:00,52.25,0.0,52.25,False,False,Night,24.89,0.0
2018-08-02 06:00:00,123.0,0.75,122.25,False,False,Morning,26.689999,0.0
2018-08-02 07:00:00,391.0,2.75,388.25,False,False,Morning,29.689999,0.0
2018-08-02 08:00:00,689.5,11.5,678.0,False,False,Morning,31.89,0.0
2018-08-02 09:00:00,487.25,10.25,477.0,False,False,Morning,33.04,0.0
2018-08-02 10:00:00,307.0,2.5,304.5,False,False,Morning,33.64,0.0
2018-08-02 11:00:00,295.0,3.0,292.0,False,False,Morning,33.84,0.0
2018-08-02 12:00:00,307.0,1.0,306.0,False,False,Afternoon,33.79,0.0
2018-08-02 13:00:00,352.5,5.75,346.75,False,False,Afternoon,33.14,0.0
2018-08-02 14:00:00,387.75,4.75,383.0,False,False,Afternoon,32.739998,0.0
2018-08-02 15:00:00,465.75,5.5,460.25,False,False,Afternoon,32.79,0.0
2018-08-02 16:00:00,462.5,3.75,458.75,False,False,Afternoon,32.09,0.0
2018-08-02 17:00:00,564.0,7.5,556.5,False,False,Afternoon,31.439999,0.0
2018-08-02 18:00:00,792.25,7.5,784.75,False,False,Evening,30.34,0.0
2018-08-02 19:00:00,741.0,10.25,730.75,False,False,Evening,29.09,0.0
2018-08-02 20:00:00,706.0,7.5,698.5,False,False,Evening,28.039999,0.0
2018-08-02 21:00:00,537.25,4.0,533.25,False,False,Evening,27.09,0.0
2018-08-02 22:00:00,392.5,2.5,390.0,False,False,Evening,26.439999,0.0
2018-08-02 23:00:00,321.0,3.5,317.5,False,False,Evening,26.689999,0.0
2018-08-03 00:00:00,328.75,3.0,325.75,False,True,Night,27.14,0.0
2018-08-03 01:00:00,175.5,2.0,173.5,False,True,Night,26.84,0.0
2018-08-03 02:00:00,95.75,1.0,94.75,False,True,Night,26.49,0.0
2018-08-03 03:00:00,34.5,0.0,34.5,False,True,Night,25.789999,0.0
2018-08-03 04:00:00,22.25,0.0,22.25,False,True,Night,25.59,0.0
2018-08-03 05:00:00,51.25,0.5,50.75,False,True,Night,24.84,0.0
2018-08-03 06:00:00,109.75,1.0,108.75,False,True,Morning,26.789999,0.0
2018-08-03 07:00:00,357.75,3.75,354.0,False,True,Morning,29.689999,0.0
2018-08-03 08:00:00,634.0,10.75,623.25,False,True,Morning,32.04,0.0
2018-08-03 09:00:00,440.0,7.0,433.0,False,True,Morning,33.64,0.0
2018-08-03 10:00:00,290.0,2.25,287.75,False,True,Morning,33.989998,0.0
2018-08-03 11:00:00,310.75,3.0,307.75,False,True,Morning,33.44,0.0
2018-08-03 12:00:00,334.0,2.5,331.5,False,True,Afternoon,34.19,0.0
2018-08-03 13:00:00,382.25,3.0,379.25,False,True,Afternoon,34.39,0.0
2018-08-03 14:00:00,479.5,5.0,474.5,False,True,Afternoon,34.239998,0.0
2018-08-03 15:00:00,548.25,7.5,540.75,False,True,Afternoon,33.94,0.0
2018-08-03 16:00:00,488.0,4.5,483.5,False,True,Afternoon,33.19,0.0
2018-08-03 17:00:00,525.5,6.75,518.75,False,True,Afternoon,32.489998,0.0
2018-08-03 18:00:00,564.25,6.5,557.75,False,True,Evening,31.64,0.0
2018-08-03 19:00:00,560.0,4.0,556.0,False,True,Evening,29.789999,0.0
2018-08-03 20:00:00,548.5,3.75,544.75,False,True,Evening,28.439999,0.0
2018-08-03 21:00:00,492.75,5.5,487.25,False,True,Evening,27.84,0.0
2018-08-03 22:00:00,409.0,2.25,406.75,False,True,Evening,27.689999,0.0
2018-08-03 23:00:00,287.75,4.25,283.5,False,True,Evening,26.84,0.0
2018-08-04 00:00:00,291.0,4.25,286.75,True,True,Night,28.49,0.0
2018-08-04 01:00:00,252.0,4.75,247.25,True,True,Night,27.59,0.0
2018-08-04 02:00:00,150.0,0.25,149.75,True,True,Night,26.59,0.0
2018-08-04 03:00:00,118.0,0.5,117.5,True,True,Night,25.939999,0.0
